dataset,dataset_spec,model,random_state,n_samples,n_features,n_classes,n_bits,rho,ds_source,ds_n_samples,ds_n_features,ds_n_classes,ari_train,ami_train,ari_test,ami_test,train_time_s,pred_time_s,n_clusters,memory_bits,variant,n_train,n_test,status,error,traceback,ds_uci_id
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,8,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.01986925253692,0.0805948643272001,6.72663831920363,5.852907285094261,2300,134246400.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,16,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0440362719818949,0.0257220440544188,1,116736.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,16,0.25,ucimlrepo,4601,57,2,0.374010035590723,0.421700937225895,0.1757176939531889,0.1589753670127036,0.0521508990786969,0.0340632458683103,3,350208.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,16,0.5,ucimlrepo,4601,57,2,0.0026772477574452,0.0351963805235168,0.0120812245217346,0.1091320450439029,10.475349388085306,9.670606608968228,1770,206622720.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,16,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0045039797865103,0.0773133542552936,13.03728576283902,12.629466991173103,2300,268492800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,16,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0045039797865103,0.0773133542552936,13.414349297992883,12.41060039610602,2300,268492800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,BinaryFuzzyART,0,4601,57,2,1,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0013319800000317,0.0007733550010016,1,114.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,BinaryFuzzyART,0,4601,57,2,1,0.25,ucimlrepo,4601,57,2,0.8619233583247088,0.8054155301886616,-0.0253626327132626,0.0368678277248948,0.0013379941228777,0.0008639600127935,2,114.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,BinaryFuzzyART,0,4601,57,2,1,0.5,ucimlrepo,4601,57,2,0.1624481856736288,0.2477286706493278,-0.0155040538549064,0.0411487699911564,0.0014412750006158,0.0008943320008256,3,114.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,BinaryFuzzyART,0,4601,57,2,1,0.75,ucimlrepo,4601,57,2,0.29461963645561,0.3771695401243244,-0.0298252332047416,0.0364845023726056,0.0015434711240231,0.0010594609193503,5,114.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,BinaryFuzzyART,0,4601,57,2,1,0.9,ucimlrepo,4601,57,2,0.0285038357192799,0.2048423496675582,-0.0125290758875885,0.0418666661885742,0.002156828999432,0.0018595940000523,16,114.0,binary,2300,2301,ok,,,94.0
